ministry,website,division,name,designation,room,phones,email,source_url
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Ms. Shivani Goyal,Assistant Director (Cost),567-A,,goyal.shivani@gov.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Sh. Bipin Sharma,Assistant Director (LM),375,,bipin.sharma77@nic.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Ms Radhika Goyal,Assistant Director (PMD),,,radhika.g1369@gov.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Sh. Amit Kumar,Section officer (P&C/O&M/ RTI/ E-GOV),259,,sopc-ca@nic.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Sh. Udit,Section Officer (CPU),567-A,,socpu-ca@nic.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Sh. Abhinav Kumar,Section Officer (Vigilance),458,,sovig-ca@nic.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Sh. Vijay Kumar,Section Officer CPU (CONFONET & E-Daakhil),567-A,,vijay.ranga24@gov.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Smt. Anita Kadyan,Section Officer (ECR&E),376-C Krishi Bhawan,,anita.kadyan@gov.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Sh. Nitesh Goel,Section Officer (Establishment),464-B,,soestt-ca@nic.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Sh. Naval Kishore,"Section officer (Cooperation, Library, Protocol)","12/2, Jamnagar House",,naval.kishore70@gov.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Sh. Prashant Chaudhary,Section Officer (Publicity),Basement,,ddpub1-ca@nic.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Sh. Kumar Anand,Section Officer (NCH),383,,sonch-ca@gov.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Sh. Pritam Singh,Section Officer (IFD),383,,pritam.singh40@gov.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Sh. Abhishek Kumar,Section Officer (BIS),562-A,,sobis-ca@nic.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Sh. Abinash Chandra Kumar,SECTION OFFICER (DDO CASH & Emblems & Name),470 Krishi Bhawan,,avinash.ck@gov.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Sh. Dharam Prakash,Senior Statistical Officer (Price Monitoring Division),546,,dharam.prakash@gov.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Sh. Anurag Kumar Mishra,Section Officer (CCPA),456-A Krishi Bhawan,,mishra.anurag@gov.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Sh. Vaibhav Madan,Section Officer (NTH),12/2 Jamnagar House,,vaibhav.madan@nic.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Sh. Aridaman Singh Parihar,Sr. Account Officer (Budget),566 Krishi Bhawan,,as.paihar@gov.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Mrs. Vishakha Raghuwanshi,Senior Statistical Officer (Price Monitoring Division),546-A,,v.raghuwanshi@nic.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Shri Manjeet Singh,Section Officer (General Admin.),373-A,,sogen-ca@nic.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Ms. Meghna Goel,Section Officer (CPU),567-A,,meghna.goel@gov.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Sh. Suyash Pratap Singh,Section Officer (CWF & PG),"383, Krishi Bhawan",,suyash.pratap@gov.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Shri Mukesh Kumar,Section officer (BIS),"562-A, Krishi Bhawan",,sobis-ca@nic.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Shri Amit,Section Officer (CPU),567-A,,socpu-ca@nic.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,R&I Cell,,"50, Krishi Bhawan",,,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Shri Amit Kumar,Assistant Accounts Officer,373-A,,goyal.amit@gov.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Smt. Santosh Rana,Sr. Accounts Officer,"12/A, Jamnagar House",,santoshrana.17@gov.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Smt. Pinki Bisla,Sr. Account Officer,470,,pinkidahiya.17@gov.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Sh. Deepankar Mudgal,Assistant Account Officer,566,,deepangar.mudgal@bsf.nic.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Sh. Parasmani,Assistant Account Officer,464-B,,parasmani.thakur80@gov.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Shri Achintya Gupta,Joint Director (IT),546-B,,achintya.gupta@nic.in,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,NIC contact No. for Internet complaints,,208,23381789 1800 111 555,,https://consumeraffairs.gov.in/pages/whos-who
Department of Consumer Affairs (DoCA),https://doca.gov.in,,Deputy Director General,Deputy Director General,"2nd Floor, A-Block, CGO Complex",,,https://consumeraffairs.gov.in/pages/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Rajnath Singh,Raksha Mantri (Defence Minister),,"24014501, 24014502 (Office) 23793881(R), 23014184(R)",rmo@mod.nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Amit Kishore, IAS (UP: 2011)",Private Secretary to RM,,"24014501, 24014502 (Office)",rmo@mod.nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Krishnendra Pratap Singh,OSD to Raksha Mantri,,"24014501, 24014502 (Office)",NA,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Prabhat Kumar Tripathi,OSD to Raksha Mantri,,"24014501, 24014502 (Office)",NA,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Amarendra Tiwari,Additional Private Secretary to Raksha Mantri,,"24014501, 24014502 (Office)",NA,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Sanjay Seth,Raksha Rajya Mantri (Minister of State for Defence),,24014508(Office) 23310353 (R),mos-defence@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Ujjwal Kumar,PS to Raksha Rajya Mantri,,24014510 (Office),mos-defence@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Jitendra Nath Mahato,Additional PS to Raksha Rajya Mantri,,"24014508, 24014509(Office)",mos-defence@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri K.P. Balyan,APS to Raksha Rajya Mantri,,"24014508, 24014509(Office)",mos-defence@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Kumar Vivekanand,1st PA to Raksha Rajya Mantri,,"24014508, 24014509(Office)",mos-defence@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Rajesh Kumar Singh, IAS (KL: 1989)","Defence Secretary, Secretary DDR&D and Chairman DRDO(additional Charge)",,"24014513, 24014515, 24014516",defsecy@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Amar Singh Chauhan,Sr. PPS to Defence Secretary,,"24014513 , 24014515 24014516",NA,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Prem Singh Raghuvanshi,OSD to Defence Secretary,,"24014513 , 24014515 24014516",NA,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Muthuthevar Kannan,PPS to Defence Secretary,,"24014513 , 24014515 24014516",NA,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Smt. Dipti Mohil Chawla, (IDAS: 1995)",Additional Secretary,,,addlsecy-mod@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Rakesh Mittal, (IDES: 1995)",Additional Secretary,,,addlsecy-r@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri A. Anbarasu, IAS (AGMUT:1996)",Additional Secretary & DG (Acquisition),,"24014456, 24014457 (Office of DG Acq)",dgacq-mod@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Manish Tripathi, IDAS (1998)",Additional Secretary,,"24014521, 24014522",addlsecymt-mod@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Rajneesh Kumar Tomar, (IRSME: 1998)",CVO (MES & BRO),,23010161 (Office),cvo-mod@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Satyajit Mohanty, IRS (C & IT : 1999)",Joint Secretary (Armed Forces; Defence Policy & Planning; CISO),,"24014568, 24014569 (Office)",jsaf-mod@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Dr. Shailesh Kumar Chourasia, IAS (MN:2007)",Joint Secretary & AM (Air),,"24014458, 24014459 (Office)",ama@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Amitabh Prasad, (IA&AS) : 2001","Joint Secretary (IC/AP), Ceremonial & CAO",,"24014491,24014492 (Office)",prasada@cag.gov.in ic-mod@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Amit Shivkumar Telang (IFS:2005),Joint Secretary (lnternational Cooperation),,"24014497,24014498 (Office)",jspic@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Dinesh Kumar, IAS (NL 2004)",Joint Secretary & AM (MS),,"24014460,24014461(Office)",jsamms-mod@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Vinod Kumar (IRSME: 1998),Joint Secretary & AM (LS),,"24014462, 24014463 (Office)",amls@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri S.G.P. Verghese,Joint Secretary (Coord/Trg/M&SS),,"24014559, 24014560 (Office)",jscoord-mod@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Ms. Preeti Meena, IAS (TG: 2010)","Joint Secretary (Land, Works & BR-II)",,"24014523, 24014524 (Office)",--,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Jitendar Kumar Mehan,Joint Secretary (AF/Org)/MoD Fin,,,dirn2-mod@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Rear Admiral P.A.A.R. Sadiq, NM",Additional Director General Acquisition Technical (Maritime & Systems),,21411707 (Office),tmms-modacq@navy.gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,AVM GK Mohan AVSM,Additional Director General Acquisition Technical (Air),,23012068(Office),awingair-mod@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Maj Gen Tarun Agrawal AVSM,Additional Director General Acquisition Technical (Army),,21410320 (Office),tmls-mod@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Apurva Chandra (Retd. IAS),Principal Advisor,,23011068/69,NA,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Vishvajit Sahay, IDAS(1990)",Secretary (Defence Finance),,"24014402, 24014403 (Office)",fads1-mod@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Ghanashyam Sahu, ICoAS (1998)",Principal Adviser (Cost),,"24014406, 24014407 (Office)",g.sahu@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Dr. Ishita Ganguli Tripathy, IES (1999)",Additional Financial Advisor (IGT) & JS,,"24014414, 24014415 (Office)",addl.fa1-dod@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Eddie Lalrinliana Khawlhring, (ICAS: 1995)",Additional Financial Advisor (EL) & JS,,"24014412, 24014413 (Office)",el.khawlhring@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Sanjay Kumar, IA&AS (1995)",Additional Financial Advisor (SK) & JS,,"24014410,24014411 (Office)",sanjaykumar.67@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Ajeet Kumar Srivastava, IRAS (1999)",Additional Financial Advisor (AKS) & JS,,"23013557, 23010159 (Office)",--,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Amitabh Ranjan Sinha, IP&TA&FS (1998)",Additional Financial Advisor (AR) & JS,,"24014408,24014409(Office)",addlfa-dod@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri AVRA Ghosh, (IDAS: 2001)",Finance Manager (Land System),,"24014418, 24014419 (Office)",,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Krishna Kant Singh, (IDAS: 2000)",Finance Manager (MS),,"24014416, 24014417 (Office)",NA,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Brajesh Kumar Pandey, (IDAS: 2006)",Finance Manager (Air),,"24014420,24014421 (Office)",NA,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Rajesh Yadav, ICoAS (1998)",Advisor (Cost/LS),,21411541(Office),rajeshyadav.icoas@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Manish Goswami, ICoAS (2002)",Adviser( Cost/Air),,21411504 (Office),manishgoswami.icoas@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Rajesh K. Agrawal, ICoAS (2008)",Advisor (Cost/MS),,21411637 (Office),rajeshkagrawal.icoas@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Rajnath Singh,Raksha Mantri (Defence Minister),,"24014501,24014502 (Office)",rmo@mod.nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Sanjay Seth,Raksha Rajya Mantri (Minister of State for Defence),,24014508 (Office),mos-defence@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Rajesh Kumar Singh, IAS (KL: 1989)","Defence Secretary, Secretary DDR&D and Chairman DRDO(additional Charge)",,"24014513, 24014515, 24014516",defsecy@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Smt. Dipti Mohil Chawla, (IDAS: 1995)",Additional Secretary,,"24014517, 24014518",addlsecy-mod@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Manish Tripathi, IDAS (1998)",Additional Secretary (Medical/Parliament/Establishment),,"24014521, 24014522",addlsecymt-mod@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Sanjai Bajpai,Advisor (Parl),,,usparl_def@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Sandeep Kumar,US (Parl),,,usparl_def@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Lalit Kumar Yadav,Section Officer(Parl),,,usparl_def@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Sunil Kumar Adlakha,Deputy Secretary (Estt.),,23014369 (Office),--,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,"Shri Vijay Kumar, IIS (1998)",ADG (M&C) & Spokesperson MoD,,24015555 (Office),adgmnc.dprmod@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri D Salai Maran,Director,,24015557 (Office),Diradm.dpr-mod@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Sooraj R,Director (PR),,24015558 (Office),dpr-mod@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Neeraj Dabas,Joint Director,,24015559 (Office),jdadm.dpr-mod@gov.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Capt Vivek Mandhwal,PRO Navy,,,pronavy.dprmod@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Col Nishant Arvind,PRO Army,,,armypro@gmail.com,https://www.mod.gov.in/dod/en/whos-who
Department of Defence (DoD),https://www.mod.gov.in/dod,,Shri Wg Cdr Jaideep Singh,PRO Air Force,,,proiaf.dprmod@nic.in,https://www.mod.gov.in/dod/en/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Rajnath Singh,Raksha Mantri (Defence Minister),,"24014501, 24014502",rmo@mod.nic.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,"Shri Amit Kishore, IAS (UP:2011)",Private Secretary to Raksha Mantri,,"24014501, 24014502",rmo@mod.nic.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Krishnendra Pratap Singh,OSD to Raksha Mantri,,"24014501, 24014502",,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Prabhat Kumar Tripathi,OSD to Raksha Mantri,,"24014501, 24014502",,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Amarendra Tiwari,Additional Private Secretary to Raksha Mantri,,"24014501, 24014502",,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Sanjay Seth,Raksha Rajya Mantri (Minister of State for Defence),,"24014508,23310353(R)",mos-defence@gov.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Ujjwal Kumar,Private Secretary to Raksha Rajya Mantri,,,mos-defence@gov.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri K.P. Balyan,Additional Private Secretary to Raksha Rajya Mantri,,"24014508, 24014509",mos-defence@gov.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Jitendra Nath Mahato,Additional Private Secretary to Raksha Rajya Mantri,,"24014508, 24014509",mos-defence@gov.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Kumar Vivekanand,1st PA to Raksha Rajya Mantri,,"23792128, 23794621",mos-defence@gov.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Smt. Sukriti Likhi,Secretary (ESW),,"24014701, 24014702",secyesw@nic.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Rajan Gupta,Senior PPS to Secretary (ESW),,"24014701, 24014702",,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Manasvi Sharma,PS to Secretary (ESW),,"24014701, 24014702",,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Manoj Kumar,PA to Secretary (ESW),,"24014701, 24014702",,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shr. S.G.P Verghese,"Additional Charge, JS(ESW)",,,jsesw@nic.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Smt. Neena Mishra,Principal Director (ESW),,"24014703, 24014704",pd.esw@desw.gov.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Sanjay Sharma,PPS to Joint Secretary (ESW),,"24014703, 24014704",,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Radhey Shyam,PS to Joint Secretary (ESW),,"24014703, 24014704",,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Brig. I.P Singh,"Brigadier ESW, Defence Advisor",,,,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Col. Deepak Kumar,"Director (Coord, Policy, IT)",,,deepak.dir@desw.gov.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Smt. Maya Kumari,DS (Res-II),,,director-res2@desw.gov.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Rajesh Kumar Sinha,DS (Pen/Policy),,,ds-pen-pol@desw.gov.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Manoj Kumar Rai,Director (WE),,,manoj.rai@nic.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Kishore Kumar,"DS (Res-I, Genl., Est. and Budget)",,,director-res1@desw.gov.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Rajesh Sampley,DS (Pen/Legal),,,rsamplay.edu@nic.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Nishat Kumar,US (Pen/Legal-I),,,us-pen-leg1@desw.gov.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Raghvendra Singh Yadav,US (Pen/Legal-II),,,us-pen-legal2@desw.gov.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Gopal Singh,US (Pen/Pol),,,us-pen-pol@desw.gov.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Prakash Mundharikar,US (Res-II),,,us-res2@desw.gov.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Ashish Prakash Sinha,US (WE),,,us-we@desw.gov.in,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Alok Nigam,US (PG),,,,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Vinod Kumar,US (Estt. & General),,,,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Kunal Garg,SO (WE),,,,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Divyesh Kumar,SO (WE),,,,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Subhadeep Das,US (Res-I),,,,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Sharad Chandan,SO (Pension Grievances),,,,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Ravinder,US (I&C),,,,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Nitin Kumar Singh,SO (Res-II),,,,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Chaitanya Biswas,AO (Pension Grievances),,,,https://www.desw.gov.in/en/about-us/whos-who
Department of Ex-Servicemen Welfare (DESW),https://www.desw.gov.in,,Shri Sachin Sharma,SO (Est.),,,,https://www.desw.gov.in/en/about-us/whos-who
Department of Expenditure (DoE),https://doe.gov.in,GOVERNMENT OF INDIA,Smt. Nirmala Sitharaman,Finance Minister,,,appointment.fm@gov.in,https://doe.gov.in/whos-who
Department of Expenditure (DoE),https://doe.gov.in,GOVERNMENT OF INDIA,Shri Anirudh Sravan Pulipaka,PS to FM,,"210016, 210017, 210018, 210019, 210020, 210021, 210022",fmo@nic.in,https://doe.gov.in/whos-who
Department of Expenditure (DoE),https://doe.gov.in,GOVERNMENT OF INDIA,Shri Ankit Jalan,Additional Private Secretary to Finance Minister,,"210022, 210023, 210024, 210025",ankit.jalan@gov.in,https://doe.gov.in/whos-who
